id_endereco,latitude_radar,longitude_radar,nome_endereco,osm_id_completo,osm_type,linestring
14,-23.226619,-45.912143,Av. Cassiano Ricardo interseção Av. Campos Elíseos,W131040822,way,"LINESTRING(-45.9127578 -23.2304383, -45.9127166 -23.2301904, -45.9127131 -23.2301663, -45.9126846 -23.230004, -45.9126348 -23.2297026, -45.9126159 -23.2295846, -45.912523 -23.2290257, -45.9125113 -23.2289553, -45.9124619 -23.2286718, -45.9124074 -23.2283297, -45.9123585 -23.2280357, -45.9123431 -23.227943, -45.9121692 -23.2269886, -45.9120969 -23.2265915, -45.9120425 -23.2262929, -45.9119668 -23.2258673, -45.9119508 -23.2257772)"
62,-23.194016,-45.885593,Av. Dr. Nelson D'Ávila (),W470213798,way,"LINESTRING(-45.8856908 -23.1944997, -45.8855943 -23.194087, -45.885518 -23.1937607, -45.8855174 -23.1937578, -45.8853767 -23.1930789, -45.8853499 -23.1927905, -45.8853636 -23.1924824, -45.8853976 -23.1921524, -45.8853834 -23.1920703)"
53,-23.19401,-45.885443,Av. Dr. Nelson D'Àvila,W325813509,way,"LINESTRING(-45.8860517 -23.1968155, -45.8857871 -23.1954762, -45.8857661 -23.1953773, -45.8855993 -23.1945208, -45.8854981 -23.194111, -45.8854425 -23.1938473, -45.885285 -23.1931007, -45.8852606 -23.1927965, -45.8852912 -23.1924832, -45.8853537 -23.1921469)"
25,-23.157592,-45.902921,R. Piraquara Clube interseção R. Enzo Guratti,W130078007,way,"LINESTRING(-45.9053711 -23.1602386, -45.9053077 -23.1601994, -45.9052592 -23.1601698, -45.9045595 -23.1597599, -45.9041116 -23.1594384, -45.903983 -23.1593255, -45.9038444 -23.1591495, -45.9035704 -23.1586422, -45.9034897 -23.1584754, -45.9033847 -23.1583344, -45.9031591 -23.1580256, -45.9030063 -23.1577754, -45.9027281 -23.1571172, -45.902682 -23.1570519, -45.9024264 -23.1567972, -45.9021435 -23.1565343, -45.9020875 -23.1564177)"
28,-23.157592,-45.902921,R. Piraquara Clube interseção R. Enzo Guratti,W130078007,way,"LINESTRING(-45.9053711 -23.1602386, -45.9053077 -23.1601994, -45.9052592 -23.1601698, -45.9045595 -23.1597599, -45.9041116 -23.1594384, -45.903983 -23.1593255, -45.9038444 -23.1591495, -45.9035704 -23.1586422, -45.9034897 -23.1584754, -45.9033847 -23.1583344, -45.9031591 -23.1580256, -45.9030063 -23.1577754, -45.9027281 -23.1571172, -45.902682 -23.1570519, -45.9024264 -23.1567972, -45.9021435 -23.1565343, -45.9020875 -23.1564177)"
26,-23.237735,-45.880834,Av. Cidade Jardim,W326394906,way,"LINESTRING(-45.8806372 -23.2354413, -45.8807815 -23.2371046, -45.8809356 -23.2381142, -45.8812744 -23.2398781, -45.8813125 -23.2400171, -45.8815809 -23.2410537, -45.8818317 -23.2417892, -45.8818542 -23.241855, -45.8819353 -23.2420991, -45.8820828 -23.2425431, -45.8823388 -23.2432532, -45.8824568 -23.2435855, -45.8825259 -23.2437626, -45.883131 -23.2450871, -45.8831818 -23.2451937, -45.883223 -23.2452772, -45.8833929 -23.2456164, -45.8838118 -23.2464036, -45.8839872 -23.246677, -45.8841352 -23.2468758, -45.8841995 -23.2469683, -45.8844206 -23.2472925, -45.8844523 -23.2473233, -45.8844798 -23.2473366, -45.8845077 -23.2473405, -45.8846474 -23.2473361, -45.8847928 -23.2473323, -45.8852737 -23.2473119)"
65,-23.179844,-45.844113,Av. Pres. Juscelino Kubitschek,W217878411,way,"LINESTRING(-45.8410783 -23.1779345, -45.8411592 -23.1779475, -45.8412337 -23.1779798, -45.8412805 -23.1780041, -45.8413284 -23.1780483, -45.8414424 -23.1781429, -45.8416075 -23.1783361, -45.8417565 -23.1785484, -45.8421894 -23.1791566, -45.842278 -23.1792743, -45.8423604 -23.1793799, -45.842404 -23.179411, -45.8425237 -23.1794986, -45.842661 -23.1795758, -45.842862 -23.179637, -45.842907 -23.179648, -45.8430488 -23.1796825, -45.84307 -23.1796867, -45.8440404 -23.1798771, -45.8440808 -23.179885, -45.8443981 -23.1799473, -45.8444651 -23.1799612, -45.844741 -23.1800185, -45.844804 -23.1800316, -45.8450472 -23.180121, -45.8455138 -23.1803431, -45.8458429 -23.1804817, -45.8460688 -23.1805524, -45.8462912 -23.1805856, -45.8465022 -23.1805824, -45.8470583 -23.1805271, -45.8474285 -23.1804604, -45.8480743 -23.1803711, -45.8487477 -23.1802882)"
39,-23.179844,-45.844113,Av. Pres. Juscelino Kubitschek,W217878411,way,"LINESTRING(-45.8410783 -23.1779345, -45.8411592 -23.1779475, -45.8412337 -23.1779798, -45.8412805 -23.1780041, -45.8413284 -23.1780483, -45.8414424 -23.1781429, -45.8416075 -23.1783361, -45.8417565 -23.1785484, -45.8421894 -23.1791566, -45.842278 -23.1792743, -45.8423604 -23.1793799, -45.842404 -23.179411, -45.8425237 -23.1794986, -45.842661 -23.1795758, -45.842862 -23.179637, -45.842907 -23.179648, -45.8430488 -23.1796825, -45.84307 -23.1796867, -45.8440404 -23.1798771, -45.8440808 -23.179885, -45.8443981 -23.1799473, -45.8444651 -23.1799612, -45.844741 -23.1800185, -45.844804 -23.1800316, -45.8450472 -23.180121, -45.8455138 -23.1803431, -45.8458429 -23.1804817, -45.8460688 -23.1805524, -45.8462912 -23.1805856, -45.8465022 -23.1805824, -45.8470583 -23.1805271, -45.8474285 -23.1804604, -45.8480743 -23.1803711, -45.8487477 -23.1802882)"
27,-23.237732,-45.88074,Av. Cidade Jardim,W128440148,way,"LINESTRING(-45.8848958 -23.2480954, -45.8847798 -23.2480304, -45.8846102 -23.2478053, -45.8843674 -23.2474579, -45.8840199 -23.2469424, -45.8838813 -23.2467298, -45.8837051 -23.2464439, -45.8831056 -23.2453302, -45.8830536 -23.2452289, -45.8824081 -23.243801, -45.882339 -23.243627, -45.8822167 -23.2432903, -45.8819667 -23.2425624, -45.881818 -23.2421326, -45.8817697 -23.2419932, -45.8817163 -23.2418177, -45.8816652 -23.2416497, -45.8814173 -23.240986, -45.8812169 -23.2400585, -45.8811793 -23.2398903, -45.880758 -23.2379131, -45.880657 -23.2371588, -45.8804859 -23.2354469)"
75,-23.256462,-45.899149,R. Gisele Martins,W126400689,way,"LINESTRING(-45.8979692 -23.2522755, -45.8982907 -23.2534139, -45.898631 -23.2545796, -45.8989576 -23.2557526, -45.8991522 -23.2564339, -45.8992912 -23.2569274, -45.8994705 -23.2575396, -45.8996268 -23.2580842, -45.8999709 -23.2592596, -45.9001826 -23.2599688)"
